url,date,homeTeam,homeScore,awayTeam,awayScore,Data Player?,Data Events?,Teams,ELO home,ELO away,H expected,A expected,Result H,G,ELO h new,ELO a new,Ca team h,Ca team a,Goal diff H,Speelronde H,Speelronde A,Punten H,Punten A,Cum P H,Cum P A,Rank H,Rank A
https://www.rbfa.be/nl/wedstrijd/6749438,22/03/2025,K. Exc. Zedelgem,2,Jong Male K.V.V.,4,0,0,K. Exc. Zedelgem - Jong Male K.V.V.,1437,1402,"0,55","0,45",0,"1,5",1412,1427,"-0,6936","0,6936",-2,26,26,0,3,26,28,12,11
https://www.rbfa.be/nl/wedstrijd/6749439,22/03/2025,K. FC Varsenare A,3,K. VC Ardooie A,2,0,0,K. FC Varsenare A - K. VC Ardooie A,1476,1498,"0,47","0,53",1,1,1492,1482,"0,5306","-0,5306",1,26,26,3,0,32,29,8,10
https://www.rbfa.be/nl/wedstrijd/6749442,23/03/2025,Club Roeselare,0,FC Sp. Heestert A,2,0,0,Club Roeselare - FC Sp. Heestert A,1461,1523,"0,41","0,59",0,"1,5",1443,1542,"-0,5185","0,5185",-2,26,26,0,3,26,41,12,6
https://www.rbfa.be/nl/wedstrijd/6749441,23/03/2025,K.R.C. Waregem A,2,K. WS Houthulst A,1,0,0,K.R.C. Waregem A - K. WS Houthulst A,1563,1418,"0,70","0,30",1,1,1572,1408,"0,3018","-0,3018",1,26,26,3,0,43,23,4,15
https://www.rbfa.be/nl/wedstrijd/6749440,23/03/2025,K. SV Bredene A,1,S.V. Wevelgem City A,4,0,0,K. SV Bredene A - S.V. Wevelgem City A,1349,1555,"0,23","0,77",0,"1,75",1337,1567,"-0,3382","0,3382",-3,26,26,0,3,24,42,14,5
https://www.rbfa.be/nl/wedstrijd/6749443,29/03/2025,K. Sassp. Boezinge A,8,Club Roeselare,1,0,0,K. Sassp. Boezinge A - Club Roeselare,1694,1443,"0,81","0,19",1,"2,25",1706,1430,"0,3652","-0,3652",7,27,27,3,0,63,26,2,13
https://www.rbfa.be/nl/wedstrijd/6749445,29/03/2025,S.V. Wevelgem City A,1,Zwevegem Sport,1,0,0,S.V. Wevelgem City A - Zwevegem Sport,1567,1582,"0,48","0,52","0,5",1,1568,1581,"0,0215","-0,0215",0,27,27,1,1,43,49,6,3
https://www.rbfa.be/nl/wedstrijd/6749449,29/03/2025,FC Sp. Heestert A,3,K. WS Houthulst A,2,0,0,FC Sp. Heestert A - K. WS Houthulst A,1542,1408,"0,68","0,32",1,1,1551,1399,"0,3170","-0,3170",1,27,27,3,0,44,23,5,15
https://www.rbfa.be/nl/wedstrijd/6749444,29/03/2025,K. Exc. Zedelgem,2,K. SV Bredene A,2,0,0,K. Exc. Zedelgem - K. SV Bredene A,1412,1337,"0,61","0,39","0,5",1,1409,1340,"-0,1069","0,1069",0,27,27,1,1,27,25,12,14
https://www.rbfa.be/nl/wedstrijd/6749448,29/03/2025,K. FC Marke A,1,K.F.C. Moen,0,0,0,K. FC Marke A - K.F.C. Moen,1515,1442,"0,60","0,40",1,1,1527,1430,"0,3966","-0,3966",1,27,27,3,0,39,30,7,9
