Team,Speler,Selecties,Gestart,Ingevallen,Vervangen,Speelminuten,Goals,Penalties,Own Goals,Geel,Dubbelgeel,Rood,Clean sheets,Kapitein,Type,MVP p>20/90min,Goals/90min,Geel/90min,Selecties L5,Gestart L5,Ingevallen L5,Vervangen L5,Speelminuten L5,Goals L5,Penalties L5,Own goals L5,Geel L5,Dubbelgeel L5,Rood L5,Clean sheet L5,Kapitein L5,RAPM_per90,RAPM_off_per90,RAPM_def_per90,RAPM_SE_per90,RAPM_CI_low,RAPM_CI_high,RAPM_z,xPPM_per90,xPPM_SE,xPPM_CI_low,xPPM_CI_high,xPPM_z
K. FC Marke A,Mathijs Pieters,4,0,1,0,11,0,0,0,0,0,0,0,0,Speler,0.0,0.0,0.0,1,0,1,0,11,0,0,0,0,0,0,0,0,0.165,0.089,0.089,3.073,-5.859,6.189,0.05,0.165,1.949,-3.655,3.985,0.08
K. FC Marke A,Monir Bouhid,6,3,3,3,316,3,0,0,2,0,0,0,0,Speler,0.416,0.854,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.968,-0.429,-0.429,2.051,-4.987,3.051,-0.47,0.577,1.413,-2.193,3.347,0.41
K. FC Marke A,Noé Dirk Rogard,9,8,1,3,605,1,0,0,1,0,0,0,0,Speler,0.615,0.149,0.149,4,3,1,2,225,0,0,0,1,0,0,0,0,0.368,0.106,0.106,1.811,-3.182,3.917,0.2,-0.092,1.251,-2.543,2.359,-0.07
K. FC Marke A,Robbe Pattijne,24,21,0,0,1890,0,0,0,0,0,0,5,0,Keeper,0.571,0.0,0.0,5,5,0,0,450,0,0,0,0,0,0,1,0,-0.545,-0.485,-0.485,2.408,-5.265,4.175,-0.23,-0.313,1.558,-3.367,2.741,-0.2
K. FC Marke A,Sem Menghis,6,1,1,1,78,0,0,0,1,0,0,0,0,Speler,0.0,0.0,1.154,2,1,0,1,66,0,0,0,1,0,0,0,0,-1.975,-1.558,-1.558,2.629,-7.128,3.178,-0.75,-0.773,1.737,-4.176,2.631,-0.44
K. FC Marke A,Siegurd Defoirdt,2,0,2,0,27,0,0,0,0,0,0,0,0,Speler,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144,0.264,0.264,2.936,-5.611,5.899,0.05,-0.114,1.887,-3.812,3.584,-0.06
K. FC Marke A,Thomas Menghis,26,26,0,14,2045,4,0,0,2,0,0,0,0,Speler,0.616,0.176,0.088,5,5,0,3,375,1,0,0,0,0,0,0,0,1.631,1.053,1.053,1.906,-2.105,5.367,0.86,1.029,1.316,-1.55,3.608,0.78
K. FC Varsenare A,Andreas De Kerpel,24,23,0,1,2066,1,0,0,5,0,0,0,0,Speler,0.588,0.044,0.218,5,5,0,0,450,0,0,0,1,0,0,0,0,-0.153,-0.274,-0.274,2.25,-4.562,4.257,-0.07,-0.013,1.498,-2.949,2.923,-0.01
K. FC Varsenare A,Bavo Butaye,23,21,1,3,1844,1,0,0,3,0,0,0,0,Speler,0.648,0.049,0.146,5,5,0,0,450,0,0,0,0,0,0,0,0,0.105,0.266,0.266,2.035,-3.884,4.095,0.05,-0.628,1.382,-3.335,2.08,-0.45
K. FC Varsenare A,Brent Ooghe,21,15,5,3,1411,2,0,0,0,0,0,0,0,Speler,0.746,0.128,0.0,4,4,0,3,301,1,0,0,0,0,0,0,0,1.005,0.748,0.748,1.828,-2.578,4.589,0.55,-0.498,1.254,-2.956,1.96,-0.4
