date,homeTeam,awayTeam,homeScore,awayScore,elo_home_before,elo_away_before,expected_home,expected_away,result_home,result_away,G,elo_home_after,elo_away_after
30/11/2025,S.V. Wevelgem City A,K. FC Heist A,1,2,1499.82,1468.09,0.5455,0.4545,0.0,1.0,1.0,1483.46,1484.46
30/11/2025,K. SV Moorsele A,K. WS Oudenburg,1,1,1420.15,1395.55,0.5354,0.4646,0.5,0.5,1.0,1419.09,1396.61
30/11/2025,K.R.C. Waregem A,K.S.C. Wielsbeke,0,2,1584.56,1560.31,0.5348,0.4652,0.0,1.0,1.625,1558.49,1586.39
06/12/2025,KFC Aalbeke Sport A,K. RC Bissegem,2,3,1511.99,1528.45,0.4763,0.5237,0.0,1.0,1.0,1497.7,1542.74
06/12/2025,K. FC Varsenare A,K. SV Bredene A,11,0,1457.4,1247.44,0.7701,0.2299,1.0,0.0,2.75,1476.37,1228.47
06/12/2025,Zwevegem Sport,K. SV Moorsele A,2,1,1613.35,1419.09,0.7537,0.2463,1.0,0.0,1.0,1620.74,1411.7
06/12/2025,K. Eendr. Wervik A,Club Roeselare,3,1,1594.21,1490.61,0.6448,0.3552,1.0,0.0,1.625,1611.53,1473.29
07/12/2025,K. WS Oudenburg,S.V. Wevelgem City A,1,0,1396.61,1483.46,0.3776,0.6224,1.0,0.0,1.0,1415.28,1464.78
07/12/2025,K. FC Heist A,K. VC Ardooie A,5,2,1484.46,1534.97,0.4278,0.5722,1.0,0.0,1.75,1514.5,1504.93
07/12/2025,K.S.C. Wielsbeke,FC Sp. Heestert A,3,2,1586.39,1521.29,0.5926,0.4074,1.0,0.0,1.0,1598.61,1509.07
07/12/2025,K. FC Marke A,K.R.C. Waregem A,3,0,1571.8,1558.49,0.5192,0.4808,1.0,0.0,1.75,1597.05,1533.24
13/12/2025,K. RC Bissegem,K. FC Heist A,0,0,1542.74,1514.5,0.5406,0.4594,0.5,0.5,1.0,1541.52,1515.72
13/12/2025,K. VC Ardooie A,S.V. Wevelgem City A,2,1,1504.93,1464.78,0.5575,0.4425,1.0,0.0,1.0,1518.2,1451.51
13/12/2025,FC Sp. Heestert A,Zwevegem Sport,2,0,1509.07,1620.74,0.3446,0.6554,1.0,0.0,1.625,1541.02,1588.79
14/12/2025,K. SV Moorsele A,K.S.C. Wielsbeke,2,2,1411.7,1598.61,0.2543,0.7457,0.5,0.5,1.0,1419.08,1591.24
14/12/2025,K. SV Bredene A,K. Eendr. Wervik A,0,4,1228.47,1611.53,0.0993,0.9007,0.0,1.0,1.875,1222.88,1617.11
14/12/2025,K. WS Oudenburg,K.R.C. Waregem A,2,4,1415.28,1533.24,0.3365,0.6635,0.0,1.0,1.625,1398.88,1549.65
14/12/2025,Club Roeselare,KFC Aalbeke Sport A,2,2,1473.29,1497.7,0.4649,0.5351,0.5,0.5,1.0,1474.34,1496.64
14/12/2025,K. FC Marke A,K. FC Varsenare A,1,3,1597.05,1476.37,0.667,0.333,0.0,1.0,1.625,1564.53,1508.89
18/12/2025,K. FC Marke A,K. RC Bissegem,3,3,1564.53,1541.52,0.5331,0.4669,0.5,0.5,1.0,1563.54,1542.52
17/01/2026,K. Eendr. Wervik A,K.S.C. Wielsbeke,0,3,1617.11,1591.24,0.5372,0.4628,0.0,1.0,1.75,1588.91,1619.44
17/01/2026,KFC Aalbeke Sport A,K. FC Marke A,2,3,1496.64,1563.54,0.4049,0.5951,0.0,1.0,1.0,1484.5,1575.69
18/01/2026,Club Roeselare,K. FC Varsenare A,3,4,1474.34,1508.89,0.4505,0.5495,0.0,1.0,1.0,1460.83,1522.4
